date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 1430, Nagpur (M.H.)
2023-10-04, 1430, Nagpur (M.H.)
2023-10-05, 1430, Nagpur (M.H.)
2023-10-06, 1430, Nagpur (M.H.)
2023-10-08, 1420, Nagpur (M.H.)
2023-10-10, 1420, Nagpur (M.H.)
2023-10-11, 1420, Nagpur (M.H.)
2023-10-12, 1410, Nagpur (M.H.)
2023-10-13, 1425, Nagpur (M.H.)
2023-10-14, 1435, Nagpur (M.H.)
2023-10-16, 1445, Nagpur (M.H.)
2023-10-17, 1460, Nagpur (M.H.)
2023-10-18, 1465, Nagpur (M.H.)
2023-10-19, 1465, Nagpur (M.H.)
2023-10-20, 1460, Nagpur (M.H.)
2023-10-21, 1455, Nagpur (M.H.)
2023-10-23, 1450, Nagpur (M.H.)
2023-10-24, 1440, Nagpur (M.H.)
2023-10-26, 1445, Nagpur (M.H.)
2023-10-28, 1445, Nagpur (M.H.)
2023-10-30, 1455, Nagpur (M.H.)
2023-10-31, 1450, Nagpur (M.H.)
2023-11-01, 1440, Nagpur (M.H.)
2023-11-02, 1435, Nagpur (M.H.)
2023-11-03, 1435, Nagpur (M.H.)
2023-11-04, 1440, Nagpur (M.H.)
2023-11-05, 1440, Nagpur (M.H.)
2023-11-06, 1440, Nagpur (M.H.)
2023-11-07, 1445, Nagpur (M.H.)
2023-11-08, 1440, Nagpur (M.H.)
2023-11-09, 1440, Nagpur (M.H.)
2023-11-10, 1445, Nagpur (M.H.)
2023-11-11, 1460, Nagpur (M.H.)
2023-11-15, 1495, Nagpur (M.H.)
2023-11-16, 1490, Nagpur (M.H.)
2023-11-17, 1480, Nagpur (M.H.)
2023-11-18, 1475, Nagpur (M.H.)
2023-11-20, 1475, Nagpur (M.H.)
2023-11-21, 1480, Nagpur (M.H.)
2023-11-22, 1475, Nagpur (M.H.)
2023-11-23, 1475, Nagpur (M.H.)
2023-11-24, 1470, Nagpur (M.H.)
2023-11-25, 1460, Nagpur (M.H.)
2023-11-27, 1455, Nagpur (M.H.)
2023-11-28, 1465, Nagpur (M.H.)
2023-11-29, 1460, Nagpur (M.H.)
2023-11-30, 1460, Nagpur (M.H.)
2023-12-01, 1455, Nagpur (M.H.)
2023-12-02, 1455, Nagpur (M.H.)
2023-12-04, 1450, Nagpur (M.H.)
2023-12-05, 1450, Nagpur (M.H.)
2023-12-06, 1445, Nagpur (M.H.)
2023-12-07, 1440, Nagpur (M.H.)
2023-12-08, 1450, Nagpur (M.H.)
2023-12-09, 1450, Nagpur (M.H.)
2023-12-11, 1445, Nagpur (M.H.)
2023-12-12, 1445, Nagpur (M.H.)
2023-12-13, 1440, Nagpur (M.H.)
2023-12-14, 1440, Nagpur (M.H.)
2023-12-15, 1440, Nagpur (M.H.)
2023-12-16, 1435, Nagpur (M.H.)
2023-12-18, 1430, Nagpur (M.H.)
2023-12-19, 1430, Nagpur (M.H.)
2023-12-20, 1435, Nagpur (M.H.)
2023-12-21, 1430, Nagpur (M.H.)
2023-12-22, 1430, Nagpur (M.H.)
2023-12-23, 1430, Nagpur (M.H.)
2023-12-25, 1420, Nagpur (M.H.)
